Duty No.,Board No.,Sign ON,Stop ON,Time ON,Time OFF,Stop OFF,Sign OFF,Paid Time,Spread Time,Service
0106,"S237
S105","08:04
12:57","ST
bb","08:16
13:04","12:00
16:15","StinR
aa","12:04
16:27",07:53,08:23,"11
192"
0107,"S236
S109","07:44
12:21","ST
aa","07:56
12:28","11:40
16:02","StinR
bb","11:44
16:14",08:00,08:30,"11
192"
0108,"S110
S232","08:03
13:26","aa
StinK","08:12
13:30","12:38
16:30","aa
StinK","12:45
16:39",08:06,08:36,"192
384"
0109,"S114
S240","08:24
12:56","aa
StinR","08:33
13:00","11:58
16:55","bb
StinN","12:05
17:04",08:10,08:40,"192
11"
0110,"S113
S206","08:19
13:56","ST
StinB","08:31
14:00","13:08
16:52","aa
StinD","13:15
17:01",08:12,08:42,"192
23"
0110,"S113
S206","08:19
13:56","ST
StinB","08:31
14:00","13:08
16:52","aa
StinD","13:15
17:01",08:12,08:42,25
0111,"S129
S241","08:43
13:16","bb
StinR","08:52
13:20","12:26
17:20","STDEP PK
StinR","12:27
17:29",08:16,08:46,"192
11"
0112,"S103
S205","08:02
13:36","bb
StinB","08:11
13:40","12:44
16:40","bb
StinB","12:51
16:49",08:17,08:47,"192
23"
0113,"S111
S211","08:14
13:33","aa
StinD","08:23
13:37","12:48
17:00","aa
StinB","12:55
17:09",08:25,08:55,"192
25"
0113,"S111
S211","08:14
13:33","aa
StinD","08:23
13:37","12:48
17:00","aa
StinB","12:55
17:09",08:25,08:55,23
0151,"S111
S230","12:39
15:49","aa
STDEP PK","12:48
15:51","14:57
19:46","aa
ST","15:04
19:51",06:42,07:12,"192
384"
0151,"S111
S230","12:39
15:49","aa
STDEP PK","12:48
15:51","14:57
19:46","aa
ST","15:04
19:51",06:42,07:12,25
0151,"S111
S230","12:39
15:49","aa
STDEP PK","12:48
15:51","14:57
19:46","aa
ST","15:04
19:51",06:42,07:12,23
0152,"S129
S222","12:38
14:46","STDEP PK
StinP","12:42
14:50","14:06
19:47","STDEP PK
ST","14:07
19:52",06:44,07:14,"192
312"
0152,"S129
S222","12:38
14:46","STDEP PK
StinP","12:42
14:50","14:06
19:47","STDEP PK
ST","14:07
19:52",06:44,07:14,374
0153,"S217
S248P","12:44
15:30","StinC
ST","12:50
15:41","14:50
19:53","ST
ST","14:51
19:58",06:44,07:14,"197
383"
0153,"S217
S248P","12:44
15:30","StinC
ST","12:50
15:41","14:50
19:53","ST
ST","14:51
19:58",06:44,07:14,384
0154,"S119
S253","12:39
15:36","bb
StinN","12:48
15:40","14:49
19:53","bb
ST","14:56
19:58",06:49,07:19,"192
358"
